iter	Passed	Remaining
0	264	264062
1	266	133196
2	269	89723
3	272	67864
4	275	54760
5	276	45879
6	278	39559
7	280	34819
8	282	31124
9	284	28164
10	286	25770
11	288	23789
12	291	22093
13	292	20626
14	294	19354
15	296	18241
16	298	17262
17	300	16400
18	302	15605
19	303	14887
20	305	14241
21	307	13657
22	308	13118
23	310	12626
24	312	12177
25	313	11757
26	315	11379
27	317	11030
28	319	10695
29	321	10391
30	323	10110
31	325	9842
32	327	9593
33	329	9368
34	332	9159
35	333	8940
36	335	8732
37	337	8535
38	338	8346
39	340	8167
40	342	8001
41	344	7853
42	346	7702
43	347	7557
44	349	7419
45	351	7287
46	353	7164
47	357	7095
48	360	6993
49	362	6879
50	363	6769
51	365	6669
52	367	6567
53	369	6466
54	370	6370
55	372	6281
56	374	6190
57	375	6104
58	377	6024
59	379	5942
60	380	5864
61	382	5788
62	384	5713
63	385	5642
64	387	5573
65	389	5505
66	390	5439
67	391	5366
68	393	5304
69	394	5244
70	396	5185
71	397	5127
72	399	5072
73	401	5020
74	402	4968
75	404	4917
76	406	4869
77	407	4819
78	409	4772
79	410	4725
80	412	4679
81	414	4637
82	415	4595
83	417	4552
84	418	4509
85	420	4469
86	421	4425
87	423	4386
88	425	4351
89	426	4315
90	428	4281
91	431	4255
92	433	4223
93	434	4190
94	436	4160
95	439	4136
96	441	4108
97	449	4139
98	453	4123
99	455	4100
100	458	4082
101	459	4046
102	461	4022
103	463	3994
104	468	3995
105	474	4002
106	483	4031
107	484	4004
108	487	3981
109	489	3960
110	491	3937
111	497	3944
112	498	3916
113	500	3890
114	502	3865
115	503	3837
116	505	3811
117	506	3787
118	510	3782
119	512	3759
120	514	3736
121	516	3715
122	517	3688
123	519	3667
124	521	3649
125	525	3646
126	527	3624
127	528	3599
128	529	3578
129	531	3557
130	533	3536
131	535	3519
132	536	3499
133	541	3497
134	542	3478
135	544	3459
136	546	3440
137	547	3419
138	549	3401
139	551	3389
140	558	3405
141	560	3389
142	562	3372
143	564	3355
144	566	3338
145	568	3323
146	571	3315
147	572	3298
148	574	3281
149	576	3264
150	577	3249
151	579	3233
152	581	3217
153	583	3207
154	587	3201
155	588	3185
156	590	3170
157	592	3154
158	593	3139
159	595	3124
160	596	3110
161	598	3097
162	600	3085
163	602	3073
164	604	3059
165	606	3045
166	607	3031
167	609	3018
168	612	3011
169	614	3001
170	616	2989
171	618	2976
172	620	2963
173	622	2954
174	625	2948
175	630	2949
176	632	2939
177	634	2931
178	636	2919
179	638	2907
180	638	2891
181	640	2879
182	642	2870
183	644	2858
184	646	2846
185	647	2835
186	649	2823
187	651	2811
188	652	2800
189	654	2790
190	656	2780
191	658	2769
192	659	2758
193	661	2749
194	663	2738
195	665	2727
196	666	2717
197	668	2706
198	669	2696
199	671	2686
200	673	2675
201	674	2665
202	676	2656
203	678	2645
204	679	2635
205	681	2625
206	683	2616
207	684	2606
208	686	2597
209	687	2587
210	689	2578
211	691	2568
212	692	2559
213	694	2550
214	696	2542
215	697	2533
216	699	2524
217	701	2515
218	702	2506
219	704	2497
220	706	2489
221	707	2480
222	710	2474
223	711	2466
224	713	2458
225	716	2454
226	719	2450
227	722	2444
228	724	2437
229	729	2443
230	732	2439
231	735	2436
232	739	2434
233	743	2433
234	746	2431
235	749	2427
236	753	2424
237	755	2417
238	757	2410
239	758	2403
240	761	2397
241	763	2390
242	764	2383
243	766	2375
244	768	2368
245	770	2360
246	772	2353
247	774	2349
248	777	2343
249	779	2339
250	781	2332
251	783	2326
252	789	2332
253	794	2333
254	797	2329
255	800	2325
256	802	2321
257	806	2318
258	810	2317
259	813	2315
260	816	2310
261	818	2305
262	820	2299
263	822	2293
264	825	2289
265	828	2285
266	830	2279
267	836	2285
268	841	2287
269	847	2290
270	849	2286
271	852	2282
272	855	2276
273	857	2271
274	859	2265
275	862	2261
276	869	2270
277	873	2267
278	881	2277
279	883	2272
280	885	2265
281	887	2259
282	889	2253
283	891	2247
284	893	2241
285	895	2234
286	896	2228
287	898	2222
288	900	2216
289	903	2211
290	904	2204
291	907	2199
292	908	2192
293	910	2186
294	912	2180
295	914	2173
296	915	2167
297	917	2160
298	918	2154
299	920	2148
300	922	2142
301	924	2136
302	926	2130
303	927	2124
304	929	2117
305	931	2111
306	932	2105
307	934	2099
308	936	2093
309	938	2088
310	940	2082
