iter	Passed	Remaining
0	2	2571
1	4	2245
2	10	3540
3	12	3098
4	14	2885
5	16	2707
6	18	2584
7	20	2487
8	23	2623
9	25	2535
10	27	2473
11	29	2424
12	31	2377
13	37	2658
14	40	2659
15	42	2637
16	45	2611
17	50	2751
18	53	2747
19	55	2727
20	58	2726
21	61	2718
22	68	2902
23	70	2854
24	72	2810
25	73	2766
26	75	2732
27	80	2788
28	82	2777
29	84	2743
30	86	2710
31	88	2678
32	90	2650
33	92	2624
34	96	2668
35	98	2641
36	100	2620
37	102	2604
38	104	2583
39	106	2558
40	114	2678
41	116	2665
42	120	2681
43	122	2668
44	128	2724
45	130	2700
46	131	2675
47	134	2675
48	139	2702
49	143	2735
50	149	2784
51	152	2771
52	159	2845
53	162	2838
54	164	2818
55	165	2794
56	167	2770
57	173	2815
58	175	2792
59	176	2768
60	178	2749
61	180	2729
62	182	2707
63	186	2732
64	188	2713
65	190	2693
66	192	2675
67	193	2656
68	195	2636
69	197	2619
70	203	2656
71	204	2637
72	206	2619
73	208	2604
74	209	2586
75	211	2569
76	213	2553
77	217	2570
78	220	2569
79	222	2553
80	223	2538
81	225	2526
82	226	2502
83	228	2489
84	231	2495
85	233	2482
86	235	2468
87	236	2455
88	238	2443
89	240	2433
90	242	2423
91	249	2459
92	251	2452
93	253	2446
94	256	2441
95	260	2453
96	263	2449
97	265	2441
98	271	2469
99	273	2464
100	283	2522
101	285	2511
102	287	2500
103	289	2491
104	295	2519
105	297	2513
106	301	2513
107	303	2502
108	305	2495
109	311	2522
110	313	2511
111	315	2500
112	317	2495
113	319	2485
114	324	2495
115	327	2496
116	329	2485
117	331	2478
118	334	2474
119	342	2509
120	346	2515
121	347	2503
122	350	2496
123	356	2517
124	360	2522
125	362	2514
126	363	2502
127	365	2492
128	373	2518
129	374	2509
130	376	2499
131	378	2490
132	380	2482
133	382	2471
134	386	2475
135	388	2466
136	390	2458
137	392	2448
138	393	2439
139	399	2455
140	401	2446
141	403	2435
142	405	2432
143	408	2427
144	413	2440
145	416	2437
146	418	2428
147	420	2419
148	422	2411
149	424	2405
150	433	2437
151	435	2428
152	436	2418
153	438	2410
154	440	2401
155	449	2433
156	452	2429
157	454	2421
158	456	2416
159	461	2422
160	463	2417
161	467	2420
162	470	2414
163	479	2445
164	481	2436
165	483	2427
166	484	2418
167	488	2419
168	492	2421
169	494	2412
170	496	2404
171	497	2395
172	499	2387
173	501	2378
174	506	2386
175	508	2378
176	509	2369
177	511	2361
178	513	2353
179	514	2345
180	516	2336
181	521	2342
182	523	2338
183	526	2333
184	528	2330
185	534	2337
186	536	2331
187	538	2326
